place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"ottawa, ontario ",on,45.2951,-75.902,unauthorized use of parks,$880.00 ,yes,880,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884797
"ottawa, ontario ",on,45.3999984,-75.6833306,gathering of 5 or more ,$880.00 ,yes,880,1,17,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884798
"ottawa, ontario ",on,45.2999988,-75.8666632,gathering of 5 or more ,$880.00 ,yes,880,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884799
"ottawa, ontario ",on,45.4154,-75.6964,open non-essential business,$880.00 ,yes,880,1,14,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884800
"ottawa, ontario ",on,45.373,-75.6549,unauthorized use of parks,$880.00 ,yes,880,1,16,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884801
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884802
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884803
"ottawa, ontario ",on,45.4296,-75.6692,unauthorized use of parks,$880.00 ,yes,880,1,12,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884804
"ottawa, ontario ",on,45.2869,-75.7165,unauthorized use of parks,$880.00 ,yes,880,1,22,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884805
"ottawa, ontario ",on,45.2869,-75.7165,unauthorized use of parks,$880.00 ,yes,880,1,22,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884806
"ottawa, ontario ",on,45.4676,-75.3582,gathering of 5 or more ,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884807
"ottawa, ontario ",on,45.3249,-75.8108,unauthorized use of parks,$880.00 ,yes,880,1,8,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884808
"ottawa, ontario ",on,45.3265,-75.8125,unauthorized use of parks,$880.00 ,yes,880,1,8,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884809
"ottawa, ontario ",on,45.402731,-75.682183,unauthorized use of parks,$880.00 ,yes,880,1,17,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884810
"ottawa, ontario ",on,45.4014,-75.7302,unauthorized use of parks,$880.00 ,yes,880,1,18,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884811
"ottawa, ontario ",on,45.406,-75.672,unauthorized use of parks,$880.00 ,yes,880,1,17,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884812
"gatineau, quebec",qc,45.5059,-75.812,parking when prohibited due to covid-19,parking ticket $44,yes,44,25,25,individual,may,mrc des collines-de-loutaouais police,unspecified,mostly ontario plates,tickets issued for parking when the parking is only open to people who can get there on foot or bike,https://montrealgazette.com/news/local-news/police-throw-the-ticket-book-at-gatineau-park-parking-offenders/wcm/7523ec0b-1ec0-4f18-a90d-5f48d72a63dc/,https://ottawa.ctvnews.ca/police-to-ontario-drivers-no-parking-in-gatineau-park-during-pandemic-1.4948501
